technology_id,technology,sensor,relation,gate,processor,actuator,evidence_status,evidence_qualifier,assignment_confidence,references,reference_dois
T113,IPH6501,Identity + Partner + Partner + Partner,Independent,uncertain,Proximity,Multi-output,evidence-backed,,medium,"Demaria 2024 (Science Immunology, doi:10.1126/sciimmunol.adp3720)",10.1126/sciimmunol.adp3720
T114,Calmodulin/CBP masking clamp,Context,,Conditional Unlock,Release,,evidence-backed,,high,"Bloch 2025 (Frontiers in Immunology, doi:10.3389/fimmu.2025.1640427)",10.3389/fimmu.2025.1640427
T115,Conditionally-activated cytosol-penetrating antibody,Context,,Conditional Unlock,"Release -> Trafficking, ordered",Payload delivery,evidence-backed,full-text confirmed,high,"Dombrowsky 2024 (Antibodies, doi:10.3390/antib13020037)",10.3390/antib13020037
T116,GlyTR,Identity + Partner,Avidity-coupled,Threshold,Proximity,T-cell recruitment/killing,evidence-backed,,low,"Zhou 2025 (Cell, doi:10.1016/j.cell.2025.09.001)",10.1016/j.cell.2025.09.001
T117,Temperature-responsive elastin-like-polypeptide linker,State,,Direct,Conformational change,,evidence-backed,,medium,"Megeed 2006 (Biomacromolecules, doi:10.1021/bm0507002)",10.1021/bm0507002
T118,Switch-Ig,Context + Identity,,Conditional Unlock,,Receptor signal modulation,evidence-backed,,medium,"KamataSakurai 2021 (Cancer Discovery, doi:10.1158/2159-8290.CD-20-0328); Nemoto 2026 (The AAPS Journal, doi:10.1208/s12248-026-01238-7)",10.1158/2159-8290.CD-20-0328; 10.1208/s12248-026-01238-7
T119,Sweeping antibody,Partner + State,,Threshold-like,Trafficking,Internalization / degradation,evidence-backed,full-text confirmed,high,"Igawa 2013 (PLOS ONE, doi:10.1371/journal.pone.0063236)",10.1371/journal.pone.0063236
T120,Adagene SAFEbody masked anti-CTLA-4 antibody,Context + Identity,,Conditional Unlock,Release,Neutralization + Treg depletion,evidence-backed,,medium,"Adagene 2021 (Cancer Research, doi:10.1158/1538-7445.AM2021-1853); Adagene 2024 (Annals of Oncology, doi:10.1016/j.annonc.2024.08.647)",10.1158/1538-7445.AM2021-1853; 10.1016/j.annonc.2024.08.647
T121,COBRA T-cell engager,Context + Identity + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,full-text confirmed,high,"Panchal 2020 (mAbs, doi:10.1080/19420862.2020.1792130); Dettling 2022 (Journal for ImmunoTherapy of Cancer, doi:10.1136/jitc-2021-004336); Krakow 2022 (Antibody Therapeutics, doi:10.1093/abt/tbab028)",10.1080/19420862.2020.1792130; 10.1136/jitc-2021-004336; 10.1093/abt/tbab028
T122,Revitope TwoGATE,Identity + Identity + Context,"Cooperative with an additional, company-disclosed Context requirement whose relation to the Identity pair is not detailed",AND-like,Assembly -> Release,T-cell recruitment/killing,uncertain,,low,Revitope 2021 (Nature),
T123,Dual-Ig,Identity + Partner + Partner,Identity independent from the dual-specific CD3/CD137 Fab arm,Direct,Proximity,Multi-output,evidence-backed,full-text confirmed,high,"Kamikawa 2024 (Journal for ImmunoTherapy of Cancer, doi:10.1136/jitc-2024-009563)",10.1136/jitc-2024-009563
T124,LINC-Ig,Identity + Partner + Partner,"Within each dual-specific Fab arm: Partner/Partner relation is Exclusive, identical mechanism to T123/Dual-Ig",Direct,Proximity,Multi-output,evidence-backed,,medium,"Mikami 2024 (Cancer Immunology Research, doi:10.1158/2326-6066.CIR-23-0638)",10.1158/2326-6066.CIR-23-0638
T125,DutaFab,2x Identity,Independent,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Beckmann 2021 (Nature Communications, doi:10.1038/s41467-021-20949-3)",10.1038/s41467-021-20949-3
T126,Obinutuzumab,Identity + Partner,Independent,Direct,Path A: Binding -> Clustering,Multi-output: Receptor signal modulation + Fc effector function,evidence-backed,,medium-high,"Moessner 2010 (Blood, doi:10.1182/blood-2009-06-225979); Alduaij 2011 (Blood, doi:10.1182/blood-2010-07-296913); Niederfellner 2011 (Blood, doi:10.1182/blood-2010-09-305847)",10.1182/blood-2009-06-225979; 10.1182/blood-2010-07-296913; 10.1182/blood-2010-09-305847
T127,FAP-4-1BBL,Context + Identity,Not addressed as a Sensor-instance relation in the source literature,Conditional Unlock,Clustering,Receptor signal modulation,evidence-backed,,high,"Claus 2019 (Science Translational Medicine, doi:10.1126/scitranslmed.aav5989); Trub 2020 (Journal for ImmunoTherapy of Cancer, doi:10.1136/jitc-2019-000238); Melero 2023 (Science Translational Medicine, doi:10.1126/scitranslmed.abp9229)",10.1126/scitranslmed.aav5989; 10.1136/jitc-2019-000238; 10.1126/scitranslmed.abp9229
T128,P329G-engager platform,Identity + Partner,Not addressed as a Sensor-instance relation in the source literature,Direct,Proximity,T-cell recruitment/killing,evidence-backed,,medium-high,"Surowka 2026 (mAbs, doi:10.1080/19420862.2025.2602993); Stock 2022 (Journal for ImmunoTherapy of Cancer, doi:10.1136/jitc-2022-005054)",10.1080/19420862.2025.2602993; 10.1136/jitc-2022-005054
T129,AMG 305,Identity + Identity + Partner,Cooperative,AND-like,Proximity,T-cell recruitment/killing,evidence-backed,,medium,"Pham 2023 (Cancer Research); Zhao 2025 (mAbs, doi:10.1080/19420862.2025.2570748)",10.1080/19420862.2025.2570748
T130,TNB-383B / ABBV-383,2x Identity + Partner,Avidity-coupled,Direct,Proximity,T-cell recruitment/killing,evidence-backed,,medium-high,"DSouza 2022 (Journal of Clinical Oncology, doi:10.1200/jco.22.01504); Sharon 2023 (Blood, doi:10.1182/blood-2023-179039)",10.1200/jco.22.01504; 10.1182/blood-2023-179039
T131,Xaluritamig / AMG 509,2x Identity + Partner,Avidity-coupled,Direct,Proximity,T-cell recruitment/killing,evidence-backed,,high,"NolanStevaux 2024 (Cancer Discovery, doi:10.1158/2159-8290.cd-23-0984); Kelly 2024 (Cancer Discovery, doi:10.1158/2159-8290.cd-23-0964)",10.1158/2159-8290.cd-23-0984; 10.1158/2159-8290.cd-23-0964
T132,Rilonacept,2x Identity,Cooperative,Direct,Binding,Neutralization,evidence-backed,,high,"Economides 2003 (Nature Medicine, doi:10.1038/nm811); Hoffman 2008 (Arthritis and Rheumatism, doi:10.1002/art.23687)",10.1038/nm811; 10.1002/art.23687
T133,REGN5093 / davutamig,2x Identity,Cooperative,Direct,Clustering,Internalization / degradation,evidence-backed,,high,"DaSilva 2021 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.MCT-21-0009); Oh 2023 (Clinical Cancer Research, doi:10.1158/1078-0432.ccr-22-2180)",10.1158/1535-7163.MCT-21-0009; 10.1158/1078-0432.ccr-22-2180
T134,Velocinator,Partner,,Direct,Binding -> Trafficking,Enzymatic activity,evidence-backed,,medium-high,"Baik 2021 (Molecular Therapy, doi:10.1016/j.ymthe.2021.08.020); George 2025 (Molecular Therapy: Methods & Clinical Development, doi:10.1016/j.omtm.2025.101547)",10.1016/j.ymthe.2021.08.020; 10.1016/j.omtm.2025.101547
T135,THOR-707 / SAR444245,Partner,,Direct,Binding,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Ptacin 2021 (Nature Communications, doi:10.1038/s41467-021-24987-9)",10.1038/s41467-021-24987-9
T136,TriTAC,Identity + Partner + Partner,,Direct,Binding -> Proximity,Multi-output,evidence-backed,,high,"Austin 2021 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.mct-20-0061); Molloy 2024 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.mct-23-0524)",10.1158/1535-7163.mct-20-0061; 10.1158/1535-7163.mct-23-0524
T137,ProTriTAC,Context + Identity + Partner + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,,medium,"Lin 2020 (Journal for ImmunoTherapy of Cancer); Lin 2021 (Cancer Research, doi:10.1158/1538-7445.AM2021-933)",10.1158/1538-7445.AM2021-933
T138,TriTAC-XR,Context + Identity + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,,medium,"Kwant 2022 (Cancer Research, doi:10.1158/1538-7445.AM2022-2861)",10.1158/1538-7445.AM2022-2861
T139,Restoret / F4L5.13,2x Identity + 2x Identity,Cooperative,Direct,Clustering,Receptor signal modulation,evidence-backed,full-text confirmed,high,"Chidiac 2021 (EMBO Molecular Medicine, doi:10.15252/emmm.202113977)",10.15252/emmm.202113977
T140,MK-8748 / Tiespectus / EYE201,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,,low,,
T141,Abelacimab / MAA868,Identity,,Direct,Binding,Neutralization,evidence-backed,,high,"Koch 2019 (Blood, doi:10.1182/blood-2018-10-880849); Yi 2022 (Journal of Thrombosis and Haemostasis, doi:10.1111/jth.15577); Verhamme 2021 (New England Journal of Medicine, doi:10.1056/nejmoa2105872)",10.1182/blood-2018-10-880849; 10.1111/jth.15577; 10.1056/nejmoa2105872
T142,Exl-111,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium,Excellergy 2026 (Company press release),
T143,Ensovibep,3x Identity + 2x Partner,Cooperative,Direct,Binding,Neutralization,evidence-backed,,high,"Rothenberger 2022 (Nature Biotechnology, doi:10.1038/s41587-022-01382-3)",10.1038/s41587-022-01382-3
T144,ADG106,Identity + Partner,,Direct,Binding -> Clustering,Multi-output,evidence-backed,full-text confirmed,high,"Ma 2024 (Cell Reports Medicine, doi:10.1016/j.xcrm.2024.101414)",10.1016/j.xcrm.2024.101414
T145,ADG152,Context + Identity + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,abstract-level only,medium,"Cai 2021 (Blood, doi:10.1182/blood-2021-147573)",10.1182/blood-2021-147573
T146,ADG206,Context + Identity + Partner,,Conditional Unlock,Release -> Binding -> Clustering,Receptor signal modulation,evidence-backed,,medium,"Liu 2022 (Cancer Research, doi:10.1158/1538-7445.am2022-2868)",10.1158/1538-7445.am2022-2868
T147,ADG138,Context + Identity + Partner,,Conditional Unlock,Release -> Proximity,T-cell recruitment/killing,evidence-backed,,medium,"Liu 2022 (Cancer Research, doi:10.1158/1538-7445.am2022-2869)",10.1158/1538-7445.am2022-2869
T148,ZW209,Identity + Partner + Partner,Cooperative,Direct,Binding + Binding -> Proximity,T-cell recruitment/killing,evidence-backed,full text confirmed,high,Lau 2025 (AACR Annual Meeting),
T149,ZW1528,2x Identity,Independent,Direct,Binding,Neutralization,evidence-backed,,high,Berezhnoy 2025 (16th World Bispecific Summit),
T150,MGD024,Identity + Partner,,Direct,Proximity,T-cell recruitment/killing,evidence-backed,full text confirmed,high,Alderson 2021 (ASH Annual Meeting and Exposition),
T151,JANX007,Context + Identity + Partner + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,full text confirmed,high,DiRaimondo 2022 (SITC Annual Meeting),
T152,JANX008,Context + Identity + Partner + Partner,,Conditional Unlock,Release + Release -> Proximity,T-cell recruitment/killing,evidence-backed,full text confirmed,high,DiRaimondo 2022 (SITC Annual Meeting),
T153,Denali Transport Vehicle,Identity,,Direct,Binding,Neutralization,evidence-backed,,medium,"Kariolis 2020 (Science Translational Medicine, doi:10.1126/scitranslmed.aay1359)",10.1126/scitranslmed.aay1359
T154,DNL310 / tividenofusp alfa,Identity,,Direct,Catalytic amplification,Enzymatic activity,evidence-backed,full text confirmed,high,"Arguello 2021 (JCI Insight, doi:10.1172/jci.insight.145445)",10.1172/jci.insight.145445
T155,DNL593,Identity + State,,Conditional Unlock,Binding,Cofactor stabilization,evidence-backed,full text confirmed,high,"Logan 2021 (Cell, doi:10.1016/j.cell.2021.08.002)",10.1016/j.cell.2021.08.002
